Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Wave 112 form assignment,Flag to identify non-internet households that were provided a tablet,How often do you discuss government and politics with others?,Would you say you follow the news…,"How much, if at all, do you trust the information you get from… National news organizations","How much, if at all, do you trust the information you get from… Local news organizations","How much, if at all, do you trust the information you get from… Social media sites, such as Facebook, Twitter or YouTube"
119548,2022-07-20 19:59:33,2022-07-20 20:15:30,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,All or most of the time,Some,Not too much,Not too much
119714,2022-07-21 14:39:15,2022-07-21 14:49:32,Smartphone,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,A lot,A lot,Not at all
119910,2022-07-24 08:21:25,2022-07-25 11:20:50,Laptop/PC,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,A lot,Some,Some
120118,2022-07-22 21:33:38,2022-07-22 21:42:52,Smartphone,English,Form 1,Non-tablet HH,A few times a month,Only now and then,Not too much,Some,Some
120343,2022-07-20 16:30:14,2022-07-20 16:38:06,Laptop/PC,English,Form 1,Non-tablet HH,A few times a week,All or most of the time,Some,A lot,Not at all
121158,2022-07-20 21:22:09,2022-07-20 21:36:33,Smartphone,English,Form 1,Non-tablet HH,A few times a month,Some of the time,Some,Some,Not too much
121582,2022-07-23 17:09:57,2022-07-26 19:33:03,Smartphone,English,Form 1,Non-tablet HH,A few times a month,All or most of the time,Not too much,Not too much,A lot
121882,2022-07-20 17:34:18,2022-07-20 17:45:41,Laptop/PC,English,Form 1,Non-tablet HH,A few times a week,Some of the time,Not too much,Some,Not at all
122265,2022-07-21 14:27:36,2022-07-21 14:44:36,Laptop/PC,English,Form 2,Non-tablet HH,Less often,All or most of the time,Not too much,Not too much,Not at all
122466,2022-07-21 16:07:00,2022-07-21 16:18:49,Smartphone,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,A lot,Some,Not at all
124281,2022-07-22 10:45:16,2022-07-22 11:02:23,Laptop/PC,English,Form 2,Non-tablet HH,A few times a week,All or most of the time,Some,Some,Not at all
124997,2022-07-20 16:11:39,2022-08-19 21:37:29,Smartphone,English,Form 1,Non-tablet HH,A few times a week,All or most of the time,A lot,Some,Not at all
125421,2022-07-23 23:42:12,2022-07-23 23:56:33,Smartphone,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Some,Not too much,Not at all
126190,2022-07-22 12:13:52,2022-07-22 12:23:58,Smartphone,English,Form 1,Non-tablet HH,A few times a week,Some of the time,A lot,A lot,Not too much
126211,2022-07-20 23:30:02,2022-07-21 11:13:30,Tablet,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Some,Not too much
126570,2022-07-22 09:08:01,2022-07-22 09:19:27,Smartphone,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Some,Not too much
